source_id	ONCnic3	_RAJ2000	_DEJ2000	N	Vis	xPos	yPos	Opt	O	RAJ2000	DEJ2000	F110W	e_F110W	f_F110W	F160W	e_F160W	f_F160W
45	37	83.564212	-5.404328	1	32	459	530	1	1	05 34 15.411	-05 24 15.58	19.759	0.126	1	18.28	0.094	1
8263	38	83.5643	-5.422769	1	32	457	203	0	0	05 34 15.432	-05 25 21.97	       	21.2245	2	18.81	0.12	1
48	39	83.564892	-5.404606	1	32	447	525	2	2	05 34 15.574	-05 24 16.58	16.752	0.031	1	15.41	0.025	1
8264	40	83.565425	-5.539983	1	11	258	474	0	0	05 34 15.702	-05 32 23.94	13.325	0.006	1	12.8	0.007	1
8265	41	83.565342	-5.409522	1	32	439	438	0	0	05 34 15.682	-05 24 34.28	21.554	0.293	1	20.06	0.214	1
8266	42	83.565529	-5.405792	1	32	436	504	0	0	05 34 15.727	-05 24 20.85	       	21.8528	2	       	21.5922	2
8267	43	83.565667	-5.403822	1	32	433	539	0	0	05 34 15.760	-05 24 13.76	       	20.9629	2	20.59	0.276	1
8268	44	83.565925	-5.405522	1	32	429	509	0	0	05 34 15.822	-05 24 19.88	       	21.5409	2	       	21.6009	2
8269	45	83.565933	-5.421408	1	32	428	227	0	0	05 34 15.824	-05 25 17.07	       	21.3403	2	       	21.3099	2
8270	46	83.566008	-5.421133	1	32	427	232	0	0	05 34 15.842	-05 25 16.08	       	21.3902	2	19.3	0.15	1
8271	47	83.566683	-5.398775	1	32	416	629	0	0	05 34 16.004	-05 23 55.59	       	20.7979	2	       	20.7559	2
8272	48	83.568104	-5.501631	1	2	592	447	0	0	05 34 16.345	-05 30 05.87	       	21.6009	2	       	21.325	2
8273	49	83.568383	-5.411019	1	32	385	411	0	0	05 34 16.412	-05 24 39.67	       	21.5769	2	       	21.557	2
8274	50	83.569004	-5.548567	1	11	195	322	0	0	05 34 16.561	-05 32 54.84	       	21.2712	2	       	21.1524	2
57	51	83.569071	-5.412117	1	32	373	392	1	1	05 34 16.577	-05 24 43.62	20.396	0.169	1	18.4	0.099	1
8275	52	83.569175	-5.544375	1	12	675	483	0	0	05 34 16.602	-05 32 39.75	       	21.4048	2	19.17	0.142	1
8276	53	83.569237	-5.414789	1	32	370	345	0	0	05 34 16.617	-05 24 53.24	       	21.6942	2	       	21.821	2
8277	54	83.569254	-5.401439	1	32	370	581	0	0	05 34 16.621	-05 24 05.18	       	21.4212	2	20.7	0.29	1
62	55	83.5695	-5.409072	1	32	365	446	1	1	05 34 16.680	-05 24 32.66	18.621	0.074	1	16.97	0.051	1
8278	56	83.570379	-5.500092	1	2	552	474	0	0	05 34 16.891	-05 30 00.33	19.305	0.102	1	17.13	0.055	1
8279	57	83.570758	-5.508208	1	2	545	330	0	0	05 34 16.982	-05 30 29.55	       	21.8809	2	20.41	0.255	1
8280	58	83.570792	-5.543589	1	12	647	497	0	0	05 34 16.990	-05 32 36.92	21.402	0.274	1	19.18	0.142	1
8281	59	83.572171	-5.421019	1	32	318	234	0	0	05 34 17.321	-05 25 15.67	       	21.6264	2	       	21.5373	2
80	60	83.572362	-5.404553	1	32	315	526	1	1	05 34 17.367	-05 24 16.39	20.548	0.184	1	18.96	0.128	1
8282	61	83.572712	-5.509789	1	2	510	302	0	0	05 34 17.451	-05 30 35.24	13.173	0.006	1	12.19	0.006	1
8283	62	83.573946	-5.493722	1	2	489	587	0	0	05 34 17.747	-05 29 37.40	       	21.915	2	       	21.7673	2
8284	63	83.573983	-5.511628	1	2	488	269	0	0	05 34 17.756	-05 30 41.86	       	21.6709	2	       	21.3226	2
8285	64	83.574429	-5.545992	1	12	582	454	0	0	05 34 17.863	-05 32 45.57	21.296	0.259	1	19.41	0.158	1
8286	65	83.575304	-5.494286	1	2	465	577	0	0	05 34 18.073	-05 29 39.43	20.855	0.212	1	17.8	0.075	1
8287	66	83.57535	-5.492219	1	2	464	614	0	0	05 34 18.084	-05 29 31.99	       	21.4601	2	       	21.5307	2
8288	67	83.576275	-5.541319	1	12	550	537	0	0	05 34 18.306	-05 32 28.75	14.571	0.011	1	13.18	0.009	1
89	68	83.576483	-5.414142	1	32	242	356	2	2	05 34 18.356	-05 24 50.91	19.442	0.109	1	18.1	0.086	1
8289	69	83.5766	-5.545375	1	12	544	465	0	0	05 34 18.384	-05 32 43.35	       	21.7593	2	       	21.5241	2
8290	70	83.577225	-5.365206	1	41	609	496	0	0	05 34 18.534	-05 21 54.74	       	20.9857	2	20.17	0.232	1
8291	71	83.578075	-5.491742	1	2	416	622	0	0	05 34 18.738	-05 29 30.27	       	21.6882	2	19.63	0.176	1
8292	72	83.578204	-5.506261	1	2	414	365	0	0	05 34 18.769	-05 30 22.54	       	21.5788	2	20.22	0.232	1
8293	73	83.578504	-5.557325	1	12	510	253	0	0	05 34 18.841	-05 33 26.37	       	21.5871	2	       	21.3828	2
8294	74	83.579058	-5.538536	1	12	501	586	0	0	05 34 18.974	-05 32 18.73	20.294	0.161	1	18.45	0.101	1
8295	75	83.578917	-5.371622	1	41	579	382	0	0	05 34 18.940	-05 22 17.84	20.933	0.225	1	19.39	0.16	1
8296	76	83.579587	-5.553211	1	12	491	326	0	0	05 34 19.101	-05 33 11.56	14.581	0.012	1	13.54	0.011	1
8297	77	83.579787	-5.502403	1	2	386	433	0	0	05 34 19.149	-05 30 08.65	       	21.6864	2	19.62	0.174	1
8298	78	83.579942	-5.540022	1	12	485	560	0	0	05 34 19.186	-05 32 24.08	       	21.8762	2	       	21.7282	2
8299	79	83.580733	-5.416894	1	32	167	307	0	0	05 34 19.376	-05 25 00.82	       	20.6899	2	       	9.999	0
8300	80	83.581146	-5.549578	1	12	464	390	0	0	05 34 19.475	-05 32 58.48	       	22.2434	2	       	21.8161	2
8301	81	83.581517	-5.505542	1	2	355	377	0	0	05 34 19.564	-05 30 19.95	11.158	0.002	1	10.13	0.002	1
8302	82	83.581296	-5.492767	1	2	350	594	0	0	05 34 19.511	-05 29 33.96	       	20.9599	2	       	20.8105	2
8303	83	83.582325	-5.563453	1	12	442	144	0	0	05 34 19.758	-05 33 48.43	20.289	0.161	1	18.57	0.107	1
8304	84	83.582375	-5.537247	1	12	442	609	0	0	05 34 19.770	-05 32 14.09	       	21.9275	2	20.11	0.218	1
8305	85	83.582525	-5.541314	1	12	439	537	0	0	05 34 19.806	-05 32 28.73	       	21.8204	2	       	21.9748	2
124	86	83.582546	-5.3656	1	41	515	489	2	2	05 34 19.811	-05 21 56.16	19.294	0.102	1	17.41	0.063	1
8306	87	83.583521	-5.548067	1	12	422	417	0	0	05 34 20.045	-05 32 53.04	       	22.3899	2	19.71	0.181	1
8307	88	83.583712	-5.540747	1	12	418	547	0	0	05 34 20.091	-05 32 26.69	       	21.7398	2	20.33	0.243	1
8308	89	83.584004	-5.553942	1	12	413	313	0	0	05 34 20.161	-05 33 14.19	       	22.1814	2	       	21.9524	2
8309	90	83.584004	-5.376408	1	41	489	297	0	0	05 34 20.161	-05 22 35.07	       	20.8579	2	19.66	0.191	1
8310	91	83.584308	-5.557267	1	12	408	254	0	0	05 34 20.234	-05 33 26.16	18.32	0.065	1	16.5	0.041	1
8311	92	83.584329	-5.545914	1	12	407	455	0	0	05 34 20.239	-05 32 45.29	       	22.1736	2	       	21.6695	2
8312	93	83.584679	-5.547347	1	12	401	430	0	0	05 34 20.323	-05 32 50.45	       	22.3544	2	       	21.9645	2
135	94	83.584617	-5.411019	1	33	583	497	2	2	05 34 20.308	-05 24 39.67	19.876	0.133	1	17.82	0.076	1
8313	95	83.585075	-5.549714	1	12	394	388	0	0	05 34 20.418	-05 32 58.97	       	21.8795	2	       	21.7691	2
8314	96	83.585496	-5.359736	1	41	463	593	0	0	05 34 20.519	-05 21 35.05	       	20.7604	2	19.57	0.173	1
143	97	83.585667	-5.358383	1	41	460	617	2	2	05 34 20.560	-05 21 30.18	17.393	0.042	1	16.31	0.038	1
8315	98	83.585937	-5.412703	1	33	560	467	0	0	05 34 20.625	-05 24 45.73	21.282	0.269	1	       	20.8603	2
8316	99	83.586046	-5.37245	1	41	453	367	0	0	05 34 20.651	-05 22 20.82	       	20.9247	2	20.03	0.218	1
8317	100	83.586487	-5.512772	1	2	267	249	0	0	05 34 20.757	-05 30 45.98	11.732	0.003	1	10.82	0.003	1
8318	101	83.586396	-5.543175	1	12	371	504	0	0	05 34 20.735	-05 32 35.43	13.638	0.007	1	12.69	0.007	1
8319	102	83.586362	-5.416989	1	33	552	391	0	0	05 34 20.727	-05 25 01.16	       	21.3328	2	       	20.7355	2
149	103	83.586679	-5.418644	1	33	546	361	2	2	05 34 20.803	-05 25 07.12	16.934	0.034	1	14.94	0.02	1
8320	104	83.587	-5.502006	1	2	258	440	0	0	05 34 20.880	-05 30 07.22	20.355	0.17	1	18.75	0.117	1
8321	105	83.587104	-5.502794	1	2	256	426	0	0	05 34 20.905	-05 30 10.06	       	21.0744	2	20.43	0.262	1
8322	106	83.58755	-5.502683	1	2	248	428	0	0	05 34 21.012	-05 30 09.66	       	21.0855	2	20.18	0.233	1
163	107	83.587471	-5.413497	1	33	533	453	3	3	05 34 20.993	-05 24 48.59	13.744	0.008	1	12.8	0.007	1
8323	108	83.588071	-5.412431	1	33	522	472	0	0	05 34 21.137	-05 24 44.75	       	21.0299	2	       	21.2738	2
169	109	83.588687	-5.4137	1	33	511	449	2	2	05 34 21.285	-05 24 49.32	20.529	0.183	1	19.02	0.132	1
8324	110	83.588937	-5.559478	1	12	326	215	0	0	05 34 21.345	-05 33 34.12	       	21.6182	2	       	21.5499	2
8325	111	83.588917	-5.412347	1	33	507	473	0	0	05 34 21.340	-05 24 44.45	       	21.3554	2	       	21.657	2
8326	112	83.589417	-5.549022	1	12	317	400	0	0	05 34 21.460	-05 32 56.48	       	22.2111	2	       	21.8248	2
8327	113	83.589492	-5.555408	1	12	316	287	0	0	05 34 21.478	-05 33 19.47	       	21.8497	2	20.77	0.296	1
8328	114	83.589846	-5.544189	1	12	310	486	0	0	05 34 21.563	-05 32 39.08	19.007	0.089	1	17.83	0.076	1
8329	115	83.589954	-5.550108	1	12	308	381	0	0	05 34 21.589	-05 33 00.39	       	22.0618	2	       	21.7216	2
8330	116	83.590212	-5.552197	1	12	303	344	0	0	05 34 21.651	-05 33 07.91	       	21.9749	2	20.03	0.21	1
8331	117	83.590437	-5.410247	1	33	480	510	0	0	05 34 21.705	-05 24 36.89	       	21.0424	2	       	21.588	2
8332	118	83.590812	-5.558597	1	12	293	230	0	0	05 34 21.795	-05 33 30.95	       	21.2915	2	19.98	0.206	1
8333	119	83.590975	-5.548531	1	12	290	409	0	0	05 34 21.834	-05 32 54.71	19.433	0.108	1	       	9.999	0
8334	120	83.591571	-5.502972	1	3	662	508	0	0	05 34 21.977	-05 30 10.70	17.338	0.041	1	15.6	0.027	1
8335	121	83.591429	-5.412517	1	33	463	470	0	0	05 34 21.943	-05 24 45.06	       	21.4926	2	       	21.5929	2
185	122	83.591237	-5.379892	1	41	361	235	4	4	05 34 21.897	-05 22 47.61	20.287	0.171	1	18.58	0.108	1
8336	123	83.591983	-5.50925	1	2	170	311	0	0	05 34 22.076	-05 30 33.30	20.541	0.188	1	18.62	0.111	1
8337	124	83.592012	-5.509994	1	2	169	298	0	0	05 34 22.083	-05 30 35.98	20.507	0.184	1	       	9.999	0
206	125	83.593104	-5.409417	1	33	433	525	3	3	05 34 22.345	-05 24 33.90	15.031	0.014	1	13.56	0.011	1
209	126	83.593333	-5.374222	1	41	324	336	3	3	05 34 22.400	-05 22 27.20	13.843	0.008	1	12.89	0.008	1
213	127	83.593675	-5.405072	1	33	423	602	2	2	05 34 22.482	-05 24 18.26	20.099	0.148	1	19.02	0.132	1
8338	128	83.593446	-5.404419	1	33	422	605	0	0	05 34 22.427	-05 24 15.91	20.073	0.146	1	17.74	0.073	1
211	129	83.593679	-5.376622	1	41	318	293	2	2	05 34 22.483	-05 22 35.84	20.794	0.205	1	19.08	0.137	1
8339	130	83.594346	-5.413611	1	33	411	451	0	0	05 34 22.643	-05 24 49.00	       	21.1161	2	       	21.2872	2
223	131	83.5944	-5.428639	1	33	410	184	2	2	05 34 22.656	-05 25 43.10	17.913	0.054	1	15.8	0.03	1
8340	132	83.594596	-5.425658	1	33	406	237	0	0	05 34 22.703	-05 25 32.37	       	20.9419	2	       	21.146	2
8341	133	83.594854	-5.413631	1	33	402	450	0	0	05 34 22.765	-05 24 49.07	       	21.1496	2	       	21.2891	2
225	134	83.595237	-5.420722	1	33	395	324	2	2	05 34 22.857	-05 25 14.60	20.11	0.148	1	18.2	0.09	1
8342	135	83.595587	-5.506239	1	3	591	450	0	0	05 34 22.941	-05 30 22.46	       	21.5195	2	19.97	0.205	1
8343	136	83.596442	-5.413117	1	33	374	459	0	0	05 34 23.146	-05 24 47.22	       	20.8055	2	       	21.3382	2
8344	137	83.597233	-5.501592	1	3	562	532	0	0	05 34 23.336	-05 30 05.73	       	21.6991	2	       	21.8555	2
8345	138	83.597233	-5.405753	1	33	360	590	0	0	05 34 23.336	-05 24 20.71	       	20.9832	2	       	21.126	2
8346	139	83.598246	-5.506858	1	3	544	439	0	0	05 34 23.579	-05 30 24.69	       	21.7854	2	19.75	0.185	1
8347	140	83.5985	-5.504975	1	3	540	472	0	0	05 34 23.640	-05 30 17.91	21.521	0.287	1	19.53	0.167	1
8348	141	83.59815	-5.371556	1	41	239	383	0	0	05 34 23.556	-05 22 17.60	       	20.8171	2	       	20.8654	2
8349	142	83.598437	-5.548969	1	13	641	486	0	0	05 34 23.625	-05 32 56.29	       	21.6675	2	       	21.4314	2
8350	143	83.598804	-5.370717	1	41	228	398	0	0	05 34 23.713	-05 22 14.58	       	20.8903	2	       	9.999	0
8351	144	83.599025	-5.422772	1	33	328	288	0	0	05 34 23.766	-05 25 21.98	       	21.2582	2	       	21.5465	2
8352	145	83.599458	-5.507917	1	3	523	420	0	0	05 34 23.870	-05 30 28.50	       	21.3007	2	       	21.2066	2
8353	146	83.599288	-5.552031	1	13	626	432	0	0	05 34 23.829	-05 33 07.31	       	21.5144	2	19.3	0.15	1
8354	147	83.600042	-5.55065	1	13	613	457	0	0	05 34 24.010	-05 33 02.34	       	21.4852	2	       	21.2478	2
8355	148	83.600229	-5.411219	1	33	307	493	0	0	05 34 24.055	-05 24 40.39	       	20.8141	2	19.85	0.197	1
8356	149	83.600938	-5.505	1	3	497	472	0	0	05 34 24.225	-05 30 18.00	       	21.5897	2	20.62	0.279	1
8357	150	83.6009	-5.418378	1	33	295	366	0	0	05 34 24.216	-05 25 06.16	       	20.8187	2	20.16	0.225	1
8358	151	83.601033	-5.411958	1	33	293	480	0	0	05 34 24.248	-05 24 43.05	       	20.924	2	       	21.4075	2
8359	152	83.601233	-5.517644	1	3	491	248	0	0	05 34 24.296	-05 31 03.52	       	21.2383	2	       	21.4284	2
8360	153	83.601246	-5.505139	1	3	491	470	0	0	05 34 24.299	-05 30 18.50	       	21.564	2	20.38	0.249	1
8361	154	83.601087	-5.548544	1	13	594	494	0	0	05 34 24.261	-05 32 54.76	       	21.5743	2	       	21.5013	2
8362	155	83.601475	-5.5046	1	3	487	479	0	0	05 34 24.354	-05 30 16.56	       	21.3175	2	20.57	0.273	1
8363	156	83.601492	-5.551439	1	13	587	443	0	0	05 34 24.358	-05 33 05.18	       	21.7458	2	       	21.4576	2
8364	157	83.601983	-5.415558	1	33	276	416	0	0	05 34 24.476	-05 24 56.01	21.259	0.262	1	19.03	0.132	1
253	158	83.602096	-5.425761	1	33	274	235	2	2	05 34 24.503	-05 25 32.74	18.976	0.09	1	17.63	0.07	1
8365	159	83.602821	-5.512639	1	3	463	336	0	0	05 34 24.677	-05 30 45.50	       	21.74	2	20.24	0.233	1
8366	160	83.602592	-5.551681	1	13	568	438	0	0	05 34 24.622	-05 33 06.05	       	21.8348	2	       	21.372	2
8367	161	83.602687	-5.417425	1	33	264	383	0	0	05 34 24.645	-05 25 02.73	       	20.8836	2	       	21.1842	2
264	162	83.603008	-5.417508	1	33	258	381	2	2	05 34 24.722	-05 25 03.03	19.831	0.132	1	17.63	0.069	1
8368	163	83.603104	-5.425108	1	33	256	247	0	0	05 34 24.745	-05 25 30.39	20.349	0.183	1	19.17	0.142	1
266	164	83.603229	-5.369628	1	42	634	503	3	3	05 34 24.775	-05 22 10.66	13.034	0.006	1	12.07	0.005	1
270	165	83.603967	-5.368264	1	42	621	527	2	2	05 34 24.952	-05 22 05.75	9.486	0.001	1	9.84	0.002	1
8369	166	83.60465	-5.512464	1	3	431	340	0	0	05 34 25.116	-05 30 44.87	       	21.7619	2	20.72	0.29	1
8370	167	83.605187	-5.54995	1	13	522	469	0	0	05 34 25.245	-05 32 59.82	       	22.2025	2	       	21.764	2
8371	168	83.606346	-5.545667	1	13	501	545	0	0	05 34 25.523	-05 32 44.40	20.065	0.145	1	17.61	0.069	1
8372	169	83.606671	-5.512664	1	3	395	336	0	0	05 34 25.601	-05 30 45.59	       	21.7638	2	19.79	0.188	1
8373	170	83.606821	-5.3702	1	42	571	493	0	0	05 34 25.637	-05 22 12.72	       	20.2306	2	20.2	0.252	1
282	171	83.606896	-5.366075	1	42	569	566	2	2	05 34 25.655	-05 21 57.87	14.136	0.009	1	13.38	0.01	1
8374	172	83.607412	-5.418119	1	33	180	371	0	0	05 34 25.779	-05 25 05.23	       	20.4022	2	       	20.5698	2
8375	173	83.608167	-5.515964	1	3	369	277	0	0	05 34 25.960	-05 30 57.47	       	21.7708	2	       	21.7677	2
8376	174	83.608608	-5.501106	1	3	361	541	0	0	05 34 26.066	-05 30 03.98	       	21.1023	2	20.37	0.251	1
8377	175	83.609362	-5.547306	1	13	448	516	0	0	05 34 26.247	-05 32 50.30	       	22.2246	2	       	21.8344	2
8378	176	83.609646	-5.546786	1	13	443	525	0	0	05 34 26.315	-05 32 48.43	       	22.14	2	       	21.7968	2
8379	177	83.609708	-5.540392	1	13	442	639	0	0	05 34 26.330	-05 32 25.41	19.754	0.126	1	18.36	0.098	1
297	178	83.609533	-5.372333	1	42	523	455	2	2	05 34 26.288	-05 22 20.40	20.445	0.173	1	18.73	0.116	1
8380	179	83.610183	-5.516928	1	3	333	260	0	0	05 34 26.444	-05 31 00.94	       	21.1056	2	       	21.5339	2
8381	180	83.609954	-5.377867	1	42	515	357	0	0	05 34 26.389	-05 22 40.32	20.794	0.21	1	20.56	0.277	1
8382	181	83.611092	-5.513903	1	3	317	314	0	0	05 34 26.662	-05 30 50.05	20.708	0.201	1	18.88	0.124	1
8383	182	83.611308	-5.380311	1	42	491	313	0	0	05 34 26.714	-05 22 49.12	       	21.1357	2	20.11	0.219	1
8384	183	83.611517	-5.367628	1	42	488	538	0	0	05 34 26.764	-05 22 03.46	       	20.9361	2	       	21.4956	2
319	184	83.612129	-5.366019	1	42	477	567	2	2	05 34 26.911	-05 21 57.67	18.879	0.085	1	16.97	0.051	1
8385	185	83.612596	-5.541486	1	13	391	619	0	0	05 34 27.023	-05 32 29.35	12.074	0.004	1	11.53	0.004	1
323	186	83.612787	-5.372558	1	42	465	451	2	2	05 34 27.069	-05 22 21.21	20.035	0.146	1	18.36	0.097	1
8386	187	83.613033	-5.419172	1	34	564	438	0	0	05 34 27.128	-05 25 09.02	21.069	0.282	1	19.07	0.139	1
8387	188	83.612867	-5.379133	1	42	463	334	0	0	05 34 27.088	-05 22 44.88	       	20.8698	2	20.61	0.28	1
335	189	83.614292	-5.508958	1	3	260	402	1	1	05 34 27.430	-05 30 32.25	17.779	0.05	1	       	9.999	0
331	190	83.614029	-5.372556	1	42	443	451	4	4	05 34 27.367	-05 22 21.20	16.511	0.028	1	15.1	0.022	1
331	191	83.614133	-5.372792	1	42	441	447	2	2	05 34 27.392	-05 22 22.05	17.7	0.049	1	17.53	0.066	1
8388	192	83.614417	-5.375419	1	42	436	400	0	0	05 34 27.460	-05 22 31.51	       	21.1839	2	       	21.7294	2
336	193	83.614496	-5.373233	1	42	435	439	2	2	05 34 27.479	-05 22 23.64	20.254	0.163	1	18.43	0.101	1
8389	194	83.615687	-5.409247	1	  	0	0	0	0	05 34 27.765	-05 24 33.29	22.027	0.482	1	20.48	0.274	1
8390	195	83.616346	-5.647161	1	71	531	370	0	0	05 34 27.923	-05 38 49.78	21.28	0.254	1	19.42	0.16	1
8391	196	83.617121	-5.364217	1	42	389	599	0	0	05 34 28.109	-05 21 51.18	       	20.8324	2	       	21.3161	2
8392	197	83.617263	-5.369722	1	42	386	501	0	0	05 34 28.143	-05 22 11.00	       	20.1681	2	20.3	0.242	1
8393	198	83.617504	-5.551617	1	13	304	439	0	0	05 34 28.201	-05 33 05.82	       	22.0091	2	20.13	0.22	1
8394	199	83.618042	-5.416128	1	34	476	492	0	0	05 34 28.330	-05 24 58.06	11.248	0.002	1	10.37	0.002	1
8395	200	83.618529	-5.649603	1	71	492	327	0	0	05 34 28.447	-05 38 58.57	16.111	0.023	1	14.47	0.016	1
8396	201	83.618525	-5.552486	1	13	286	424	0	0	05 34 28.446	-05 33 08.95	       	22.0306	2	20.65	0.282	1
374	202	83.619025	-5.509111	1	4	662	486	1	1	05 34 28.566	-05 30 32.80	15.225	0.015	1	14.22	0.014	1
8397	203	83.618796	-5.371131	1	42	359	476	0	0	05 34 28.511	-05 22 16.07	       	20.2216	2	19.75	0.188	1
8398	204	83.619117	-5.429006	1	34	457	264	0	0	05 34 28.588	-05 25 44.42	       	20.9893	2	       	21.1169	2
8399	205	83.619446	-5.425122	1	34	451	332	0	0	05 34 28.667	-05 25 30.44	       	19.0351	2	18.86	0.123	1
8400	206	83.6198	-5.634047	1	71	470	603	0	0	05 34 28.752	-05 38 02.57	       	21.9091	2	       	21.6966	2
8401	207	83.619896	-5.648761	1	71	468	342	0	0	05 34 28.775	-05 38 55.54	       	21.8076	2	18.95	0.128	1
8402	208	83.619742	-5.640847	1	71	466	469	0	0	05 34 28.738	-05 38 27.05	20.615	0.186	1	18.3	0.095	1
8402	209	83.619742	-5.640847	1	71	466	469	0	0	05 34 28.738	-05 38 27.05	20.615	0.186	1	18.3	0.095	1
8403	210	83.620625	-5.633858	1	71	456	606	0	0	05 34 28.950	-05 38 01.89	       	21.901	2	19.79	0.188	1
8404	211	83.620812	-5.649992	1	71	452	320	0	0	05 34 28.995	-05 38 59.97	21.553	0.29	1	18.4	0.099	1
8405	212	83.621225	-5.367492	1	42	316	541	0	0	05 34 29.094	-05 22 02.97	       	20.0805	2	       	20.6815	2
8406	213	83.62155	-5.431108	1	34	414	226	0	0	05 34 29.172	-05 25 51.99	14.827	0.013	1	13.32	0.01	1
8407	214	83.62205	-5.406544	1	34	405	662	0	0	05 34 29.292	-05 24 23.56	21.174	0.283	1	18.22	0.092	1
8408	215	83.62195	-5.377572	1	42	303	362	0	0	05 34 29.268	-05 22 39.26	       	20.1124	2	19.55	0.172	1
8409	216	83.622196	-5.561053	1	13	221	272	0	0	05 34 29.327	-05 33 39.79	14.321	0.01	1	13.78	0.012	1
